search_log_id,jurisdiction_id,searched_at,searched_by_role,language,domains_searched,query_summary,result_state,evidence_path,review_status,notes
PUBSEARCH-0061,GBR-EAW,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,GBR-EAW justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0062,GBR,2026-07-27T13:39:45Z,analyst-agent,Welsh,statistics/open data,GBR statistics/open data Welsh official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0063,GBR,2026-07-27T13:39:45Z,analyst-agent,Welsh,annual reports,GBR annual reports Welsh official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0064,IND,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,IND annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0065,IND,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,IND justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0066,IND,2026-07-27T13:39:45Z,analyst-agent,Hindi,justice ministry,IND justice ministry Hindi official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0067,GBR-EAW,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,GBR-EAW statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0068,GBR-EAW,2026-07-27T13:39:45Z,analyst-agent,Welsh,statistics/open data,GBR-EAW statistics/open data Welsh official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0069,GBR-EAW,2026-07-27T13:39:45Z,analyst-agent,Welsh,annual reports,GBR-EAW annual reports Welsh official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0070,IND,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,IND statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0071,IND,2026-07-27T13:39:45Z,analyst-agent,Hindi,annual reports,IND annual reports Hindi official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
